item_id,item_type,user_id,liked_date
item0,type0,user0,2022-07-30 21:40:41.761000
item3483,type2,user0,2022-07-30 21:53:43.956000
item4386,type1,user0,2022-07-30 21:36:13.427000
item2826,type0,user0,2022-08-27 20:48:26.714000
item1,type1,user1,2022-07-30 21:37:51.638000
item2037,type1,user1,2022-10-14 13:22:05.921000
item100,type2,user100,2022-08-08 20:26:20.140000
item779,type1,user1000,2022-08-23 07:19:43.526000
item785,type3,user1001,2022-08-23 07:20:32.829000
item922,type1,user1001,2022-08-26 18:45:00.144000
item1196,type1,user1001,2022-09-04 10:54:09.727000
item1246,type3,user1001,2022-09-04 10:40:19.639000
item779,type1,user1002,2022-08-23 09:06:40.967000
item61,type0,user1003,2022-08-23 09:33:00.963000
item779,type1,user1003,2022-08-23 09:57:04.069000
item767,type1,user1003,2022-08-23 17:04:51.079000
item816,type1,user1003,2022-08-23 16:49:36.077000
item887,type1,user1003,2022-08-23 17:06:09.588000
item790,type1,user1005,2022-08-23 10:07:08.634000
item749,type0,user1006,2022-08-23 10:17:11.238000
item780,type1,user1006,2022-08-24 00:36:03.233000
item578,type1,user1007,2022-08-23 10:19:12.203000
item1125,type1,user1007,2022-09-01 21:02:57.641000
item866,type1,user1007,2022-08-24 11:09:56.392000
item626,type1,user1007,2022-08-23 10:11:51.563000
item783,type1,user1009,2022-08-23 10:50:30.282000
item101,type1,user101,2022-08-08 20:30:19.364000
item386,type0,user1010,2022-08-23 11:12:40.902000
item2613,type0,user1010,2022-08-20 12:00:13.008000
item515,type0,user1011,2022-08-23 11:21:36.031000
item795,type1,user1013,2022-08-23 11:45:27.883000
item564,type1,user1013,2022-08-19 13:43:09.554000
item796,type1,user1015,2022-08-23 12:00:31.045000
item2821,type1,user1015,2022-08-28 17:51:28.530000
item587,type1,user1015,2022-08-21 15:24:53.574000
item778,type1,user1015,2022-08-23 11:54:23.677000
item4959,type1,user1015,2022-09-27 11:04:55.132000
item487,type0,user1016,2022-08-23 12:00:32.183000
item620,type0,user1016,2022-08-22 00:17:03.328000
item689,type0,user1017,2022-08-23 12:14:14.385000
item795,type1,user1018,2022-08-23 12:18:03.860000
item3590,type0,user1018,2022-08-28 15:51:20.721000
item667,type1,user1019,2022-08-23 12:31:26.274000
item786,type1,user1019,2022-08-23 16:27:42.104000
item968,type1,user1019,2022-08-30 21:39:46.408000
item2803,type1,user1019,2022-08-30 12:05:09.006000
item1221,type1,user1019,2022-09-03 21:46:27.918000
item102,type0,user102,2022-08-08 20:40:04.294000
item2663,type1,user102,2022-08-22 12:27:59.471000
item694,type0,user1020,2022-08-23 12:39:32.860000
item885,type1,user1020,2022-08-25 20:59:07.988000
item100,type2,user1020,2022-08-23 13:51:06.716000
item449,type2,user1021,2022-08-23 12:49:08.243000
item797,type0,user1022,2022-08-23 13:13:33.205000
item798,type1,user1024,2022-08-23 13:07:27.419000
item799,type1,user1024,2022-08-23 13:18:12.708000
item3813,type1,user1024,2022-08-23 12:56:36.429000
item800,type1,user1026,2022-08-23 14:04:28.486000
item801,type1,user1027,2022-08-23 14:17:55.995000
item2700,type1,user1027,2022-08-23 14:57:13.530000
item727,type1,user1028,2022-08-23 14:23:47.090000
item2588,type1,user1028,2022-08-19 02:14:35.630000
item804,type0,user1030,2022-08-23 14:59:17.532000
item1775,type0,user1030,2022-08-18 16:08:42.471000
item4824,type0,user1030,2022-09-11 09:59:11.974000
item805,type2,user1031,2022-08-23 15:04:35.165000
item806,type2,user1032,2022-08-23 15:07:02.257000
item807,type0,user1033,2022-08-23 15:22:34.609000
item808,type0,user1034,2022-08-23 15:44:08.668000
item810,type0,user1034,2022-08-23 16:00:05.012000
item812,type0,user1036,2022-08-23 16:12:22.455000
item762,type1,user1037,2022-08-23 16:21:31.922000
item2702,type3,user1037,2022-08-23 16:29:09.091000
item742,type3,user1037,2022-08-22 00:30:58.338000
item814,type3,user1039,2022-08-23 16:38:08.875000
item104,type1,user104,2022-08-08 21:08:01.205000
item685,type1,user1041,2022-08-23 17:38:05.994000
item749,type0,user1042,2022-08-23 17:51:30.775000
item817,type1,user1043,2022-08-23 18:04:51.381000
item1027,type0,user1043,2022-08-28 22:42:20.693000
item818,type0,user1045,2022-08-23 18:53:59.866000
