item_id,item_type,user_id,liked_date
item0,type0,user0,2021-07-30 21:40:41.761000
item1,type1,user1,2021-07-30 21:37:51.638000
item2,type0,user2,2021-07-31 16:30:39.653000
item3,type1,user3,2021-07-31 17:12:27.486000
item4,type0,user4,2021-08-01 01:01:59.285000
item5,type0,user5,2021-08-03 10:47:26.017000
item6,type2,user6,2021-08-03 20:27:51.830000
item7,type0,user7,2021-08-03 21:47:47.190000
item8,type0,user8,2021-08-04 07:05:22.641000
item9,type1,user9,2021-08-04 21:17:24.351000
item10,type1,user10,2021-08-04 22:03:44.868000
item11,type0,user11,2021-08-04 23:44:04.533000
item12,type0,user12,2021-08-04 23:49:18.140000
item13,type1,user13,2021-08-05 00:45:14.619000
item14,type1,user12,2021-08-05 01:05:44.844000
item15,type1,user14,2021-08-05 03:08:44.484000
item16,type0,user15,2021-08-05 17:25:28.533000
item17,type1,user16,2021-08-05 17:28:58.125000
item10,type1,user17,2021-08-05 19:18:50.370000
item18,type1,user18,2021-08-05 20:04:31.255000
item19,type1,user19,2021-08-05 21:53:04.970000
item20,type1,user20,2021-08-05 23:02:47.897000
item21,type0,user21,2021-08-06 06:51:35.878000
item17,type1,user22,2021-08-06 01:45:07.839000
item22,type1,user23,2021-08-06 03:20:54.800000
item23,type0,user24,2021-08-06 06:11:28.157000
item24,type0,user25,2021-08-06 08:01:54.401000
item25,type0,user26,2021-08-06 13:38:52.691000
item26,type1,user10,2021-08-06 16:34:40.225000
item27,type2,user27,2021-08-06 21:11:52.586000
item28,type0,user28,2021-08-06 21:18:14.107000
item29,type0,user28,2021-08-06 21:22:25.421000
item30,type0,user29,2021-08-06 21:26:56.889000
item31,type0,user30,2021-08-06 21:29:34.375000
item2,type0,user31,2021-08-06 21:38:16.090000
item32,type0,user32,2021-08-06 21:46:01.961000
item33,type0,user33,2021-08-06 21:54:38.150000
item34,type0,user34,2021-08-06 22:31:34.180000
item35,type0,user35,2021-08-06 22:52:22.317000
item36,type0,user36,2021-08-06 22:57:00.722000
item37,type2,user37,2021-08-06 23:01:16.535000
item38,type0,user38,2021-08-06 23:13:05.107000
item39,type0,user39,2021-08-06 23:41:02.145000
item40,type0,user39,2021-08-06 23:44:40.201000
item41,type0,user40,2021-08-07 04:06:08.886000
item42,type2,user41,2021-08-07 08:52:33.083000
item43,type1,user42,2021-08-07 09:25:22.194000
item44,type0,user43,2021-08-07 09:41:34.333000
item45,type0,user44,2021-08-07 09:51:27.722000
item46,type2,user45,2021-08-07 10:54:11.335000
item47,type3,user46,2021-08-07 11:19:33.401000
item48,type3,user47,2021-08-07 11:24:47.039000
item49,type0,user48,2021-08-07 12:15:11.032000
item50,type3,user49,2021-08-07 12:48:31.682000
item43,type1,user50,2021-08-07 12:33:08.952000
item51,type2,user51,2021-08-07 12:44:45.220000
item52,type2,user52,2021-08-07 12:57:06.435000
item53,type1,user53,2021-08-07 14:10:50.934000
item54,type2,user54,2021-08-07 13:54:52.798000
item55,type2,user55,2021-08-07 15:13:48.653000
item56,type1,user56,2021-08-07 16:58:42.322000
item57,type1,user57,2021-08-07 16:49:09.579000
item58,type1,user58,2021-08-07 17:11:52.755000
item59,type1,user58,2021-08-07 17:06:50.485000
item60,type0,user59,2021-08-07 18:11:24.995000
item61,type0,user60,2021-08-07 19:19:59.059000
item62,type2,user61,2021-08-07 19:31:28.333000
item63,type0,user62,2021-08-07 20:00:50.020000
item64,type0,user63,2021-08-07 20:08:38.731000
item65,type0,user12,2021-08-07 20:06:16.918000
item66,type1,user64,2021-08-07 21:34:18.349000
item67,type1,user65,2021-08-07 22:54:54.075000
item68,type1,user66,2021-08-07 22:57:23.920000
item41,type0,user67,2021-08-07 23:02:35.570000
item69,type0,user68,2021-08-07 23:10:06.281000
item70,type1,user69,2021-08-07 23:16:02.302000
item67,type1,user70,2021-08-07 23:55:15.000000
item71,type0,user71,2021-08-08 00:01:32.833000
item53,type1,user72,2021-08-08 00:05:45.814000
item72,type0,user73,2021-08-08 00:11:51.706000
item73,type0,user74,2021-08-08 00:25:51.158000
item74,type0,user75,2021-08-08 00:32:10.988000
item75,type0,user76,2021-08-08 00:48:03.663000
item50,type3,user77,2021-08-08 01:15:37.691000
item69,type0,user78,2021-08-08 01:21:26.636000
item76,type1,user56,2021-08-08 01:43:25.796000
item77,type0,user79,2021-08-08 02:14:55.529000
item78,type0,user80,2021-08-08 02:35:26.791000
item79,type0,user80,2021-08-08 02:39:15.706000
item80,type1,user81,2021-08-08 03:33:20.002000
item81,type2,user82,2021-08-08 09:14:04.347000
item82,type3,user83,2021-08-08 10:16:42.890000
item83,type0,user2,2021-08-08 12:45:40.539000
item84,type1,user84,2021-08-08 13:01:34.957000
item85,type3,user85,2021-08-08 13:46:26.676000
item86,type0,user86,2021-08-08 14:43:40.234000
item87,type0,user87,2021-08-08 15:28:42.748000
item88,type0,user88,2021-08-08 16:03:00.158000
item89,type0,user89,2021-08-08 16:09:57.272000
item90,type0,user90,2021-08-08 16:44:26.468000
item91,type1,user91,2021-08-08 17:23:38.324000
item92,type0,user92,2021-08-08 17:26:31.268000
item93,type0,user93,2021-08-08 17:48:18.284000
item94,type1,user94,2021-08-08 18:33:52.921000
item95,type0,user95,2021-08-08 18:36:06.245000
item96,type1,user96,2021-08-08 18:37:48.596000
item97,type1,user10,2021-08-08 18:42:11.025000
item98,type0,user97,2021-08-08 18:58:44.536000
item48,type3,user98,2021-08-08 19:42:28.420000
item99,type1,user99,2021-08-08 19:46:43.030000
item100,type2,user100,2021-08-08 20:26:20.140000
item101,type1,user101,2021-08-08 20:30:19.364000
item102,type0,user102,2021-08-08 20:40:04.294000
item103,type0,user103,2021-08-08 20:53:46.760000
item104,type1,user104,2021-08-08 21:08:01.205000
item105,type0,user105,2021-08-08 22:50:39.559000
item106,type1,user106,2021-08-08 22:52:57.275000
item107,type1,user107,2021-08-08 22:54:54.529000
item108,type1,user108,2021-08-08 22:56:10.348000
item109,type0,user109,2021-08-08 23:16:47.371000
item110,type3,user110,2021-08-08 23:26:15.925000
item111,type1,user111,2021-08-08 23:18:52.427000
item81,type2,user110,2021-08-08 23:29:13.013000
item112,type0,user112,2021-08-08 23:41:15.544000
item108,type1,user113,2021-08-08 23:51:49.604000
item92,type0,user114,2021-08-08 23:57:01.206000
item113,type2,user115,2021-08-09 00:04:11.539000
item108,type1,user116,2021-08-09 00:18:08.245000
item114,type1,user117,2021-08-09 00:39:23.295000
item115,type2,user118,2021-08-09 00:48:35.789000
item116,type0,user119,2021-08-09 03:33:56.007000
item117,type0,user120,2021-08-09 05:51:25.066000
item118,type1,user121,2021-08-09 06:55:32.010000
item119,type1,user122,2021-08-09 09:14:42.204000
item120,type0,user123,2021-08-09 09:58:20.542000
item121,type0,user124,2021-08-09 10:26:03.368000
item122,type3,user125,2021-08-09 10:34:01.543000
item108,type1,user12,2021-08-09 10:49:37.711000
item123,type0,user126,2021-08-09 11:44:39.911000
item116,type0,user127,2021-08-09 14:30:51.727000
item114,type1,user128,2021-08-09 14:54:25.331000
item124,type0,user129,2021-08-09 16:10:11.573000
item125,type3,user130,2021-08-09 16:33:58.699000
item126,type0,user131,2021-08-09 17:57:27.892000
item127,type1,user132,2021-08-09 18:17:46.012000
item128,type3,user133,2021-08-09 18:52:12.313000
item129,type1,user10,2021-08-09 20:01:25.414000
item130,type1,user134,2021-08-09 20:08:54.485000
item120,type0,user135,2021-08-09 20:30:42.793000
item116,type0,user136,2021-08-09 21:01:52.930000
item131,type0,user137,2021-08-09 21:13:34.015000
item128,type3,user138,2021-08-09 22:33:17.258000
item132,type1,user139,2021-08-09 22:57:01.482000
item133,type2,user140,2021-08-09 22:59:51.573000
item134,type0,user141,2021-08-09 23:01:06.153000
item135,type0,user142,2021-08-09 23:27:21.135000
item136,type2,user143,2021-08-09 23:19:11.243000
item137,type1,user144,2021-08-09 23:24:41.234000
item138,type0,user145,2021-08-09 23:32:22.142000
item139,type1,user146,2021-08-09 23:48:11.541000
item140,type0,user147,2021-08-09 23:50:29.443000
item126,type0,user148,2021-08-09 23:45:00.459000
item61,type0,user149,2021-08-09 23:40:06.903000
item141,type1,user150,2021-08-10 00:39:42.089000
item142,type0,user151,2021-08-10 00:35:08.940000
item132,type1,user152,2021-08-10 01:33:08.431000
item135,type0,user153,2021-08-10 01:37:19.207000
item143,type1,user154,2021-08-10 02:20:03.626000
item144,type1,user154,2021-08-10 02:24:50.382000
item145,type1,user155,2021-08-10 06:52:54.408000
item130,type1,user156,2021-08-10 08:34:53.660000
item146,type1,user157,2021-08-10 10:54:53.904000
item61,type0,user158,2021-08-10 11:19:51.148000
item147,type3,user159,2021-08-10 11:31:51.141000
item148,type0,user160,2021-08-10 11:36:31.343000
item149,type2,user161,2021-08-10 11:46:46.294000
item150,type0,user162,2021-08-10 12:19:18.649000
item151,type1,user163,2021-08-10 12:25:47.237000
item150,type0,user164,2021-08-10 12:56:50.073000
item110,type3,user165,2021-08-10 13:04:19.308000
item150,type0,user166,2021-08-10 13:44:34.553000
item152,type0,user146,2021-08-10 15:23:46.401000
item153,type0,user167,2021-08-10 15:53:24.922000
item154,type1,user150,2021-08-10 17:01:24.791000
item155,type0,user168,2021-08-10 17:21:50.022000
item156,type0,user169,2021-08-10 17:26:24.934000
item157,type2,user170,2021-08-10 17:53:38.038000
item158,type2,user171,2021-08-10 18:04:49.689000
item159,type3,user172,2021-08-10 18:55:31.277000
item71,type0,user173,2021-08-10 19:47:03.040000
item160,type1,user174,2021-08-10 20:04:19.777000
item41,type0,user175,2021-08-10 21:20:53.712000
item161,type0,user176,2021-08-10 21:29:16.457000
item162,type1,user177,2021-08-10 21:54:52.906000
item163,type1,user178,2021-08-10 21:59:18.005000
item164,type0,user179,2021-08-10 22:17:43.991000
item165,type0,user180,2021-08-10 22:47:19.168000
item163,type1,user181,2021-08-10 22:54:41.412000
item166,type0,user182,2021-08-10 22:56:26.432000
item150,type0,user183,2021-08-10 22:50:21.856000
