item_id,item_type,user_id,liked_date,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17
item10,type1,user10,2021-08-04 22:03:44.868000,label4,label14,label17,label82,label9,label6,,,,,,,,,,,
item26,type1,user10,2021-08-06 16:34:40.225000,label15,label31,label91,label72,label21,label8,label4,label6,label97,label108,,,,,,,
item97,type1,user10,2021-08-08 18:42:11.025000,label5,label12,label3,label69,label27,label6,label4,label9,,,,,,,,,
item129,type1,user10,2021-08-09 20:01:25.414000,label27,label9,label4,label5,label6,label19,label3,label12,,,,,,,,,
item2221,type1,user10,2021-08-05 22:34:13.757000,label8,label6,label92,label237,label94,label95,label83,label9,label4,,,,,,,,
item68,type1,user10,2021-08-07 06:55:01.896000,label27,label9,label4,label5,label51,label6,label33,label12,,,,,,,,,
item2262,type1,user10,2021-08-08 10:32:37.374000,label38,label7,label47,label27,label41,label18,label6,label5,label4,label9,label12,,,,,,
item3495,type1,user10,2021-08-06 16:14:07.902000,label7,label47,label6,label4,label38,,,,,,,,,,,,
item3523,type1,user10,2021-08-08 18:41:08.050000,label4,label6,,,,,,,,,,,,,,,
item1,type1,user10,2021-08-04 22:23:15.594000,label40,label65,label9,label4,label5,label6,label87,,,,,,,,,,
item221,type1,user10,2021-08-08 18:44:09.474000,label18,label51,label4,label6,label33,,,,,,,,,,,,
item61,type0,user1003,2021-08-23 09:33:00.963000,label58,label69,label70,label148,label4,label9,label51,label33,,,,,,,,,
item779,type1,user1003,2021-08-23 09:57:04.069000,label6,label152,label17,label4,label8,label21,label72,label10,label45,,,,,,,,
item767,type1,user1003,2021-08-23 17:04:51.079000,label33,label4,label6,label28,,,,,,,,,,,,,
item816,type1,user1003,2021-08-23 16:49:36.077000,label38,label7,label47,label6,label4,,,,,,,,,,,,
item887,type1,user1003,2021-08-23 17:06:09.588000,label6,label38,label7,label47,label4,,,,,,,,,,,,
item789,type0,user1004,2021-08-23 09:53:44.202000,label33,label116,label108,label4,label6,label9,,,,,,,,,,,
item54,type2,user1004,2021-09-02 18:57:33.632000,label52,label75,label4,label6,,,,,,,,,,,,,
item134,type0,user1004,2021-08-20 21:30:44.627000,label4,label50,label37,label44,label28,label9,label56,label27,label33,label6,label5,label12,,,,,
item2800,type0,user1004,2021-08-27 12:22:46.542000,label19,label33,label51,,,,,,,,,,,,,,
item1625,type0,user1004,2021-09-22 22:28:16.201000,label5,label9,label4,label12,label27,label18,label6,,,,,,,,,,
item4154,type0,user1004,2021-09-19 11:02:23.671000,label5,label12,label132,label27,label6,label9,label136,label4,label65,,,,,,,,
item4186,type2,user1004,2021-09-24 18:09:59.019000,label5,label9,label12,label27,label6,label4,,,,,,,,,,,
item1653,type0,user1004,2021-09-20 08:29:28.547000,label9,label70,label58,label33,label6,label4,,,,,,,,,,,
item4919,type2,user1004,2021-09-24 14:01:43.835000,label12,label5,label33,label28,label27,label6,label65,label9,label4,,,,,,,,
item723,type1,user1008,2021-08-23 10:39:38.232000,label6,label72,label152,label8,label21,label10,label17,label4,,,,,,,,,
item1387,type1,user1008,2021-09-11 11:35:50.984000,label4,label5,label12,label9,label27,label6,,,,,,,,,,,
item795,type1,user1008,2021-08-22 22:08:46.227000,label7,label4,label6,label38,label47,,,,,,,,,,,,
item3820,type2,user1008,2021-08-23 17:58:05.102000,label7,label47,label4,label6,label9,label33,label101,label38,label71,,,,,,,,
item1543,type1,user1008,2021-10-15 19:14:14.539000,label4,label28,label12,label27,label33,label6,label5,label9,label65,,,,,,,,
item4647,type1,user1008,2021-08-22 22:34:02.862000,label177,label6,label52,label131,label67,label75,label68,,,,,,,,,,
item794,type1,user1012,2021-08-23 11:32:36.759000,label55,label74,label4,label9,label97,label19,,,,,,,,,,,
item875,type1,user1012,2021-08-24 22:39:24.226000,label12,label69,label6,label4,label9,label5,label41,label27,,,,,,,,,
item877,type1,user1012,2021-08-25 10:51:39.951000,label12,label5,label9,label4,label27,label6,,,,,,,,,,,
item889,type1,user1012,2021-08-25 10:54:58.077000,label5,label6,label27,label12,label9,label4,,,,,,,,,,,
item1023,type1,user1012,2021-08-28 20:44:20.308000,label9,label60,label6,label4,label76,label138,,,,,,,,,,,
item1120,type1,user1012,2021-09-01 17:25:48.497000,label12,label6,label5,label4,label9,label27,,,,,,,,,,,
item727,type1,user1012,2021-09-01 17:23:21.306000,label7,label47,label35,label6,label145,label38,,,,,,,,,,,
